country,country_code,iso2,source,Date,Song,Artist,songID,youtube_songID,youtube_videoID,youtube_video_type,youtube_search_match_score,youtube_title,youtube_duration
South Korea,KOR,KR,Melon Chart,1965,산너머 남촌에는,박재란,산너머 남촌에는₩박재란,산넘어 남촌에는₩박재란,YTvufCNN8l0,youtube music,0.73,산넘어 남촌에는,172.0
South Korea,KOR,KR,Melon Chart,1993,그때는 알겠지,강수지,그때는 알겠지₩강수지,그때는알겠지₩강수지,YEiqLMODTzE,youtube music,0.84,그때는알겠지,
South Korea,KOR,KR,Melon Chart,1985,새장속의 사랑은 싫어,김학래,새장속의 사랑은 싫어₩김학래,새장속의 사랑은 싫어₩김학래,ibWJPwp_Jy4,youtube music,1.0,새장속의 사랑은 싫어,
South Korea,KOR,KR,Melon Chart,1974,비,김세환,비₩김세환,비₩김세환,YQFCqsqMEcg,youtube music,1.0,비,
South Korea,KOR,KR,Melon Chart,1967,돌지않는 풍차,문주란,돌지않는 풍차₩문주란,돌지않는 풍차₩문주란,LusayxM_aUI,youtube music,1.0,돌지않는 풍차,
South Korea,KOR,KR,Melon Chart,1999,불멸의 사랑,조성모,불멸의 사랑₩조성모,불멸의 사랑₩조성모,A0yPS9O4xVg,youtube music,1.0,불멸의 사랑,
South Korea,KOR,KR,Melon Chart,2000,기도,정일영,기도₩정일영,기도₩정일영,-WLtn9EiZIE,youtube music,1.0,기도,
South Korea,KOR,KR,Melon Chart,1990,샴푸의 요정,빛과 소금,샴푸의 요정₩빛과 소금,샴푸의 요정₩빛과 소금,8_UYuUWX-5w,youtube music,1.0,샴푸의 요정,
South Korea,KOR,KR,Melon Chart,1987,어둠은 걷히고,이선희,어둠은 걷히고₩이선희,🌸어둠은 걷히고  이선희₩길성배,Xo6BKqkC2IM,youtube video,0.77,🌸어둠은 걷히고  이선희,
South Korea,KOR,KR,Melon Chart,1978,겨울 장미,이은하,겨울 장미₩이은하,겨울 장미₩이은하,dem2lIpJ4_8,youtube music,1.0,겨울 장미,
South Korea,KOR,KR,Melon Chart,1964,아빠 안녕,현미,아빠 안녕₩현미,아빠 안녕₩현미,EmqvRJJcP1I,youtube music,1.0,아빠 안녕,
South Korea,KOR,KR,Melon Chart,1993,사는게 뭔지,이무송,사는게 뭔지₩이무송,이무송 - '사는게 뭔지' | Lee Mu song - 'What Is the Meaning of Life?' 【KBS 가요톱10】₩Again 가요톱10 : KBS KPOP Classic,dc5JZZHsHTA,youtube video,0.12,이무송 - '사는게 뭔지' | Lee Mu song - 'What Is the Meaning of Life?' 【KBS 가요톱10】,197.0
South Korea,KOR,KR,Melon Chart,2005,사랑했나봐,윤도현,사랑했나봐₩윤도현,사랑했나봐₩윤도현,MDNzHG4DDhE,youtube music,1.0,사랑했나봐,
South Korea,KOR,KR,Melon Chart,1984,유리벽,신형원,유리벽₩신형원,유리벽₩신형원,W6e7qKK9Pis,youtube music,1.0,유리벽,
South Korea,KOR,KR,Melon Chart,1997,질투,영턱스클럽,질투₩영턱스클럽,질투₩영턱스클럽,pVR0AXskurA,youtube video,1.0,질투,
South Korea,KOR,KR,Melon Chart,1999,어머님께,God,어머님께₩god,어머님께 (어머님께)₩god,8lhHdSkHomU,youtube music,0.67,어머님께 (어머님께),256.0
South Korea,KOR,KR,Melon Chart,2001,미소천사,성시경,미소천사₩성시경,미소천사₩성시경,VCg1EI53bkw,youtube music,1.0,미소천사,
South Korea,KOR,KR,Melon Chart,1973,그건 너,이장희,그건 너₩이장희,그건 너₩이장희,D0_dsKRo-yI,youtube music,1.0,그건 너,
South Korea,KOR,KR,Melon Chart,1992,가장무도회,김완선,가장무도회₩김완선,가장무도회₩김완선,QEf6RJ68xaY,youtube music,1.0,가장무도회,
South Korea,KOR,KR,Melon Chart,1984,사랑의 미로,최진희,사랑의 미로₩최진희,사랑의 미로₩최진희,_SEJV7k8Nmw,youtube music,1.0,사랑의 미로,
South Korea,KOR,KR,Melon Chart,2003,Loveholic,러브홀릭,loveholic₩러브홀릭,Loveholic₩러브홀릭,CkB2ikXNooA,youtube music,1.0,Loveholic,
South Korea,KOR,KR,Melon Chart,1966,동백꽃 피는 고향,남상규,동백꽃 피는 고향₩남상규,동백꽃 피는 고향₩노성,pcY2ytRZfi0,youtube music,0.78,동백꽃 피는 고향,
South Korea,KOR,KR,Melon Chart,1998,보낼수밖에 없는 난,소찬휘,보낼수밖에 없는 난₩소찬휘,보낼 수 밖에 없는 난₩소찬휘,p2Fqo_w6mek,youtube music,0.79,보낼 수 밖에 없는 난,
South Korea,KOR,KR,Melon Chart,2002,진실,쿨 (Cool),진실₩쿨 (cool),진실₩쿨 (Cool),Q2qH4-LzI3s,youtube music,1.0,진실,
South Korea,KOR,KR,Melon Chart,1995,하루,장필순,하루₩장필순,하루₩장필순,0nJ7rA_bgcI,youtube music,1.0,하루,
South Korea,KOR,KR,Melon Chart,2009,눈물아 안녕,아이비,눈물아 안녕₩아이비,눈물아 안녕₩투피알,WHUEJ5G5slM,youtube music,0.67,눈물아 안녕,223.0
South Korea,KOR,KR,Melon Chart,1980,외할머니 댁,논두렁 밭두렁,외할머니 댁₩논두렁 밭두렁,외할머니 댁₩논두렁 밭두렁,O-NUIiN2CIc,youtube music,1.0,외할머니 댁,
South Korea,KOR,KR,Melon Chart,1993,너의 사고방식,모자이크,너의 사고방식₩모자이크,Your Way of Thinking₩Mosaic,YQ6usaW0uAI,youtube music,0.0,Your Way of Thinking,271.0
South Korea,KOR,KR,Melon Chart,1970,망향,배성,망향₩배성,망향₩배성,vHfd3oEqfNM,youtube music,1.0,망향,
South Korea,KOR,KR,Melon Chart,1986,님,김정호,님₩김정호,김정호 - 님.wmv₩Kim Jung Ho,ShasjTy39h8,youtube video,0.15,김정호 - 님.wmv,283.0
South Korea,KOR,KR,Melon Chart,2000,위대한 탄생 (Fetticcini),드렁큰 타이거,위대한 탄생 (fetticcini)₩드렁큰 타이거,드렁큰타이거 - 위대한 탄생 (Fetticcini)₩비마라라,wOMQQc-uA1w,youtube video,0.79,드렁큰타이거 - 위대한 탄생 (Fetticcini),
South Korea,KOR,KR,Melon Chart,1996,이젠 널 인정하려 해,뱅크,이젠 널 인정하려 해₩뱅크,이젠 널 인정하려해₩뱅크,eEd9MkdsmSs,youtube music,0.88,이젠 널 인정하려해,
South Korea,KOR,KR,Melon Chart,1996,나보다 조금 더 높은 곳에 니가 있을 뿐,신승훈,나보다 조금 더 높은 곳에 니가 있을 뿐₩신승훈,나보다 조금 더 높은 곳에 니가 있을 뿐₩신승훈,_vu9y_QnITI,youtube music,1.0,나보다 조금 더 높은 곳에 니가 있을 뿐,
South Korea,KOR,KR,Melon Chart,1985,강변연가,권진경,강변연가₩권진경,강변연가₩권진경,cq00b6PWTas,youtube music,1.0,강변연가,
South Korea,KOR,KR,Melon Chart,2008,Love,브라운아이드걸스,love₩브라운아이드걸스,LOVE₩브라운 아이드 걸스,CdsQsniwoDk,youtube music,0.77,LOVE,
South Korea,KOR,KR,Melon Chart,1999,Lying,샵,lying₩샵,Lying₩S#arp,jhpkzq6Zi9A,youtube music,0.62,Lying,244.0
South Korea,KOR,KR,Melon Chart,1993,두근 두근 쿵쿵,현진영,두근 두근 쿵쿵₩현진영,두근 두근 쿵쿵 - 현진영₩my my radio,FawsPr4x740,youtube video,0.61,두근 두근 쿵쿵 - 현진영,240.0
South Korea,KOR,KR,Melon Chart,1999,영원한 사랑,핑클,영원한 사랑₩핑클,영원한 사랑₩Fin.K.L,xw2I0MO3P60,youtube music,0.57,영원한 사랑,249.0
South Korea,KOR,KR,Melon Chart,2009,미스터,카라,미스터₩카라,Mr. (미스터)₩KARA,lP6yruxrvdE,youtube music,0.22,Mr. (미스터),194.0
South Korea,KOR,KR,Melon Chart,1985,"어제, 오늘, 그리고",조용필,"어제, 오늘, 그리고₩조용필",어제 오늘 그리고₩조용필,dICIVrTQOug,youtube music,0.77,어제 오늘 그리고,
South Korea,KOR,KR,Melon Chart,1987,외로운 밤은 싫어,높은음자리,외로운 밤은 싫어₩높은음자리,외로운 밤은 싫어₩높은음자리,0vJdexqG9dw,youtube music,1.0,외로운 밤은 싫어,
South Korea,KOR,KR,Melon Chart,1982,종이학,전영록,종이학₩전영록,종이학₩전영록,cqWtrwDciBI,youtube music,1.0,종이학,
South Korea,KOR,KR,Melon Chart,1988,아쉬움,신촌 블루스,아쉬움₩신촌 블루스,아쉬움₩신촌 블루스,DPnW90s91J8,youtube music,1.0,아쉬움,
South Korea,KOR,KR,Melon Chart,2007,단발머리,이수영,단발머리₩이수영,단발머리₩이수영,w1927yxtNqg,youtube music,1.0,단발머리,
South Korea,KOR,KR,Melon Chart,1984,눈물의 재회,강승모,눈물의 재회₩강승모,눈물의 재회₩강승모,4AvGu6prRn0,youtube music,1.0,눈물의 재회,
South Korea,KOR,KR,Melon Chart,1994,비밀은 없어,룰라,비밀은 없어₩룰라,비밀은 없어₩룰라,7rHYKavhkAc,youtube music,1.0,비밀은 없어,
South Korea,KOR,KR,Melon Chart,1997,이별,이지훈,이별₩이지훈,이별₩이지훈,PR5zKo3yEvc,youtube music,1.0,이별,
South Korea,KOR,KR,Melon Chart,1986,사랑도 추억도 I,방미,사랑도 추억도 i₩방미,사랑도 추억도₩방미,UTRT8Jdw53A,youtube music,0.9,사랑도 추억도,
South Korea,KOR,KR,Melon Chart,1991,오늘 같은 밤이면,박정운,오늘 같은 밤이면₩박정운,오늘 같은 밤이면₩박정운,XBCOp1b_rDY,youtube music,1.0,오늘 같은 밤이면,
