Date,Song,Artist,query_idx,official,topic,channel_artist_same,keywords,video_title,video_channel,video_url
2/27/1965,Stranger In Town,Del Shannon,2,False,True,True,True,stranger in town,del shannon - topic,https://www.youtube.com/watch?v=QzWX3j0eCGs
3/6/1965,When I'm Gone,Brenda Holloway,3,False,True,True,True,when i'm gone,brenda holloway - topic,https://www.youtube.com/watch?v=Ge652rbR4b8
3/6/1965,Got To Get You Off My Mind,Solomon Burke,1,False,True,True,True,got to get you off my mind,solomon burke - topic,https://www.youtube.com/watch?v=haDfGbMnLEE
2/27/1965,I Must Be Seeing Things,Gene Pitney,4,False,True,True,True,i must be seeing things,gene pitney - topic,https://www.youtube.com/watch?v=BS3nZi6dyWo
3/6/1965,Come See,Major Lance,2,False,True,True,True,come see,major lance - topic,https://www.youtube.com/watch?v=sfKfoh7kt34
3/6/1965,Good Times,Jerry Butler,1,False,True,True,True,good times,jerry butler - topic,https://www.youtube.com/watch?v=46PPF4k95-s
2/27/1965,Who Can I Turn To,Dionne Warwick,1,False,False,True,True,who can i turn to,dionne warwick,https://www.youtube.com/watch?v=mKy2UDN8uNM
3/6/1965,You're Next,Jimmy Witherspoon,0,False,True,True,True,you're next,jimmy witherspoon - topic,https://www.youtube.com/watch?v=HGFhEQJULWg
3/6/1965,Long Lonely Nights,Bobby Vinton,1,False,True,True,True,long lonely nights,bobby vinton - topic,https://www.youtube.com/watch?v=EnHXALlS9bc
3/6/1965,Girl Don't Come,Sandie Shaw,2,False,False,True,True,girl don't come,sandie shaw channel,https://www.youtube.com/watch?v=4lQL-noM87Y
3/6/1965,Please Let Me Wonder,The Beach Boys,1,False,False,True,True,please let me wonder (stereo),the beach boys,https://www.youtube.com/watch?v=UwiDOOFdpqs
3/6/1965,You Can't Hurt Me No More,Gene Chandler,1,False,True,True,True,you can't hurt me no more,gene chandler - topic,https://www.youtube.com/watch?v=1CWD-mSTLqE
3/6/1965,For Mama,Jerry Vale,0,False,True,True,True,for mama,jerry vale - topic,https://www.youtube.com/watch?v=oCZ_JKn0tYI
2/27/1965,Danny Boy,Jackie Wilson,1,False,True,True,True,danny boy,jackie wilson - topic,https://www.youtube.com/watch?v=OmBIPjjJuKU
